# ----------------------------------------
# E-commerce purchases: Item name
# Account: Twin Birds UA
# Property: Twin Birds GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251101
# End date: 20260505
Item name,Items viewed,Items added to cart,Items purchased,Item revenue
Saree Shaper - Gold Dust,10723,396,2,1798.000049
Viscose Kurti Pant - Navy Ribbon - S / Navy Ribbon,10709,35,0,0
Shimmer Legging - Gold Mine - S / Gold Mine,10328,71,0,0
Metallic Straight Pant - Metallic White,9910,381,7,4193.000043
Cotton Churidar Legging - Golden Brown - S / Golden Brown,9547,16,0,0
Saree Shaper - Rosy Brown - S / Rosy Brown / Regular - Upto 5'4,9353,88,0,0
Saree Shaper - Glam Pink - S / Glam Pink / Regular - Upto 5'4,9113,110,0,0
Viscose Kurti Pant - Navy Ribbon,9050,822,6,3594.000032
Saree Shaper - Red Velvet,8893,858,5,4494.999998
Solid Wide Leg Palazzo - Grape Vine,8885,273,0,0
Solid Wide Leg Palazzo - Carbon Black,8334,801,4,2595.999948
Solid Wide Leg Palazzo - Sweet Corn,8084,116,2,1298.000002
Saree Shaper - Desert Dazzle,7968,530,2,1798.000019
Saree Shaper - Silver Coin - S / Silver Coin / Regular - Upto 5'4,7840,34,0,0
Linen Straight Pant - Beige - S / Beige,7683,9,0,0
Cotton Stretch Straight Pant - Anthrazite Grey,7565,82,0,0
Solid Wide Leg Palazzo - Butter Scotch - S / Butter Scotch,7528,42,0,0
Viscose Kurti Pant - PoolSide - S / PoolSide,7474,19,0,0
Saree Shaper - Emerald De Lite - S / Emerald De Lite / Regular - Upto 5'4,7352,71,0,0
Solid Wide Leg Palazzo - Butter Scotch,7273,478,4,2596.000046
Metallic Straight Pant - Honey Dew,7237,282,4,2396.000023
Viscose Kurti Pant - Anthrazite Grey - S / Anthrazite Grey,7176,38,0,0
Saree Shaper - Soul Gem,6939,446,3,2696.999987
Viscose Kurti Pant - Pink - L / Pink Paradise,6654,143,0,0
Saree Shaper - Milky Way - S / Milky Way / Regular - Upto 5'4,6639,75,0,0
Saree Shaper - Soul Gem - S / Soul Gem / Regular - Upto 5'4,6511,74,0,0
Viscose Ankle Legging - Pink Shock - S / Pink Shock,6333,26,0,0
Waterfall Pant - Black,6241,131,0,0
Solid Wide Leg Palazzo - Sweet Corn - S / Sweet Corn,6104,17,0,0
Saree Shaper - Glam Pink,6056,637,5,4495.000011
Cotton Capri Legging - Butter Scotch - S / Butter Scotch,6003,21,0,0
Solid Wide Leg Palazzo - Pearl White,5971,624,5,3244.999908
Sleek Kurti Pant - Lip Stick,5896,65,1,648.999983
Solid Wide Leg Palazzo - Navy Ribbon,5881,267,1,648.99996
Viscose Kurti Pant - Lipstick,5862,347,0,0
Solid Wide Leg Palazzo - Carbon Black - S / Carbon Black,5803,94,0,0
Saree Shaper - Watermelon - S / Watermelon / Regular - Upto 5'4,5752,44,0,0
Saree Shaper - Pink Champagne - L / Pink Champagne / Regular - Upto 5'4,5612,501,0,0
Viscose Kurti Pant - Off White - 5XL / Off White,5522,269,0,0
High Waist Denim Jeans - Miami 90 - S / Miami 90,5495,17,0,0
Saree Shaper - Electric Violet - S / Electric Violet / Regular - Upto 5'4,5475,63,0,0
Cotton Capri Legging - Carbon Black - S / Carbon Black,5455,52,0,0
Viscose Kurti Pant - Black - 5XL / Black,5439,490,0,0
Shimmer Legging - Desert Dazzle,5395,167,2,1497.999944
Saree Shaper - Sun Shine - S / Sun Shine / Regular - Upto 5'4,5371,30,0,0
Metallic Straight Pant - Plum Berry - S / Plum Berry,5363,20,0,0
Saree Shaper - Peri Twinkle - S / Peri Twinkle / Regular - Upto 5'4,5202,62,0,0
Metallic Straight Pant - Silver String,5152,250,9,5391.00008
Saree Shaper - Emerald De Lite,5150,401,1,899.000022
Straight Fit Saree Shaper - Pink Champagne,5148,82,0,0
Denim Jegging - Miami 90 - M / Miami 90,5113,27,0,0
Textured Pant Co-ord Set - Matcha - XS / Matcha,5064,11,0,0
Saree Shaper - Valentine - S / Valentine / Regular - Upto 5'4,5063,57,0,0
Shimmer Legging - Silver Coin - S / Silver Coin,5031,49,0,0
Saree Shaper - Sugar Cookie - S / Sugar Cookie / Regular - Upto 5'4,5010,53,0,0
Saree Shaper - Lime Twist - S / Lime Twist / Regular - Upto 5'4,4988,32,0,0
Cotton Ankle Legging - Amber Flower,4983,290,1,549.000031
Metallic Straight Pant - Metallic White - M / Metallic White,4975,104,0,0
Solid Cotton Straight Pant - Cream De La Creme - S / Creme De La Creme,4958,15,0,0
Saree Shaper - Electric Violet,4957,403,2,1797.999964
Viscose Kurti Pant - PoolSide,4944,312,3,1796.999935
Metallic Straight Pant - Silver String - S / Silver String,4891,22,0,0
Saree Shaper - Navy Gloss - S / Navy Gloss / Regular - Upto 5'4,4798,54,0,0
Shimmer Legging - Pink Champagne - S / Pink Champagne,4792,22,0,0
Saree Shaper - Arctic Spring - S / Arctic Spring / Regular - Upto 5'4,4769,57,0,0
Bamboo Modal Ankle Legging - Black - S / Black,4764,18,0,0
Saree Shaper - Pearly Vanilla - M / Pearly Vanilla / Regular - Upto 5'4,4753,263,0,0
Shimmer Legging - Gold Mine,4660,264,2,1497.999987
Viscose Kurti Pant - Pink - 5XL / Pink Paradise,4635,195,0,0
Saree Shaper - Pearly Vanilla - L / Pearly Vanilla / Regular - Upto 5'4,4588,388,0,0
Cotton Kurti Pant - Pearl White - S / Peal White,4584,61,0,0
Flexi Kurti Pant - Cherry Berry - S / Cherry Berry,4582,9,0,0
Shimmer Legging - Gold Dust - S / Gold Dust,4509,8,0,0
Skirt Shaper - Wild Orchid - S / Wild Orchid,4503,4,0,0
Saree Shaper - Silver Coin,4479,308,6,5393.999929
Viscose 7/8 High Ankle/Cropped Leggings - Black Plus - S / Black Plus,4445,85,0,0
Oversized Texture Shirt - Black,4443,70,0,0
Textured Night Pant - Green Smoke - XS / Green Smoke,4431,4,0,0
Saree Shaper - Rosy Brown,4407,288,3,2696.999988
Metallic Straight Pant - Pink Smoothie - S / Pink Smoothie,4396,8,0,0
Metallic Straight Pant - Pink Smoothie,4387,265,2,1197.999918
Metallic Straight Pant - Queen Bee - S / Queen Bee,4387,10,0,0
Metallic Straight Pant - Honey Dew - L / Honey Dew,4360,105,0,0
Cotton Capri Legging - Carbon Black,4335,610,4,1995.99991
Saree Shaper - Curious Copper - S / Curious Copper / Regular - Upto 5'4,4322,48,0,0
Saree Shaper - Milky Way,4272,438,2,1797.999921
Textured Night Pant - Belgian Cocoa - XS / Belgian Cocoa,4262,8,0,0
Metallic Straight Pant - Silver String - XL / Silver String,4217,143,0,0
Solid Wide Leg Palazzo - Navy Ribbon - 2XL / Navy Ribbon,4208,104,0,0
Shimmer Legging - Rosy Brown - S / Rosy Brown,4164,33,0,0
Viscose Churidar Legging - Moss Plant - S / Moss Plant,4141,12,0,0
Solid Knitted Palazzo Pants - Mocha Bean,4097,14,0,0
Cotton Churidar Legging - Golden Brown,4096,192,0,0
Metallic Straight Pant - Plum Berry,3972,241,2,1198.000047
Cotton Ankle Legging - Blue Chip - S / Blue Chip,3963,23,0,0
Striped Palazzo - Brown Stone,3922,80,0,0
Shimmer Shawl - Black Pearl,3906,3777965,1,299.00001
Cotton Capri Legging - Butter Scotch,3821,216,3,1496.999958
Striped Palazzo - Brown Stone - S / Brown Stone,3794,14,0,0
Shimmer Legging - Glam Pink - S / Glam Pink,3772,34,0,0
Viscose Kurti Pant - Mehandi Maroon - 2XL / Mehandi Maroon,3769,329,0,0
Solid Cotton Straight Pant - Cream De La Creme,3704,40,0,0
Viscose Kurti Pant - Lipstick - S / Lipstick,3667,3,0,0
Metallic Straight Pant - Eden Garden - S / Eden Garden,3632,8,0,0
High Neck Frill Tee - Anthrazite Grey,3623,3,0,0
Cotton Kurti Pant - Pearl White,3573,395,3,1796.999979
Flexi Indigo Jegging - Blue Moon - S / Blu Moon 40,3541,2,0,0
Shimmer Legging - Silver Coin,3490,249,1,749.000027
Viscose Kurti Pant - Navy Ribbon - L / Navy Ribbon,3475,146,0,0
Cotton Kurti Pant - Olive Green,3465,160,0,0
Cotton Ankle Legging - Green Tree - S / Green Tree,3462,13,0,0
Shimmer Legging - Pearly Vanilla - S / Pearly Vanilla,3445,26,0,0
Solid Knitted Palazzo Pants - Mocha Bean - XL / Mocha Bean,3427,84,0,0
Saree Shaper - Parrot Green - S / Parrot Green / Regular - Upto 5'4,3418,29,0,0
Saree Shaper - Blue Diamond - S / Blue Diamond / Regular - Upto 5'4,3390,34,0,0
Cotton Churidar Legging - Mystic Pink - S / Mystic Pink,3347,13,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Black Plus - L / Black Plus,3306,172,0,0
Cotton Ankle Legging - Pearl white - XS / Pearl White,3299,32,0,0
Saree Shaper - Curious Copper,3260,279,2,1797.999941
Saree Shaper - Magic Maroon - S / Magic Maroon / Regular - Upto 5'4,3254,32,0,0
Solid Knitted Palazzo Pants - Mocha Bean - S / Mocha Bean,3240,10,0,0
Women Wide Jean - Botson 000 - S / Botson 000,3200,6,0,0
Regular Fit Track Pant - Black,3180,93,0,0
Cotton Ankle Legging - Carbon Black - XS / Carbon Black,3155,49,0,0
High Waist Denim Jeans - Kansas - S / Kansas 40,3131,18,0,0
Cotton Kurti Pant - Carbon Black - S / Carbon Black,3129,50,0,0
Bamboo Modal Churidar Legging - White - S / White,3112,3,0,0
Saree Shaper - Watermelon,3110,211,3,2697.000058
High Neck Frill Tee - Anthrazite Grey - S / Anthrazite Grey,3070,3,0,0
Solid Wide Leg Palazzo - Navy Ribbon - S / Navy Ribbon,2920,15,0,0
Linen Straight Pant - Navy - S / Navy,2918,3,0,0
Flexi Kurti Pant - Black Plus - S / Black Plus,2912,29,0,0
Metallic Straight Pant - Pink Smoothie - XL / Pink Smoothie,2906,150,0,0
Straight Fit Saree Shaper - Gold Mine - S / Gold Mine,2894,28,0,0
Shimmer Legging - Silver Coin - 3XL / Silver Coin,2893,124,0,0
Shimmer Legging - Curious Copper - S / Curious Copper,2887,10,0,0
Ruffle Top - Green Tree - XS / Green Tree,2880,0,0,0
Saree Shaper - Sugar Cookie,2851,259,1,898.999965
Metallic Straight Pant - Pine Tree - S / Pine Tree,2849,6,0,0
Shimmer Legging - Milky Way - S / Milky Way,2848,25,0,0
Saree Shaper - Electric Violet - L / Electric Violet / Regular - Upto 5'4,2847,182,0,0
Women Denim Jean - Botson 000 - S / Botson 000,2811,5,0,0
Solid Wide Leg Palazzo - Mehandi Maroon,2809,197,2,1298.000074
Matching Shawl - Olive - Olive,2799,110,0,0
Viscose Ankle Legging - Pink Shock,2798,123,1,549
Viscose Kurti Pant - Mehandi Maroon - 5XL / Mehandi Maroon,2773,186,0,0
Shimmer Legging - Magic Maroon - S / Magic Maroon,2768,32,0,0
Skirt Shaper - Wild Orchid,2757,14,1,399.00003
High Waist Denim Jeans - Kansas,2736,97,1,1198.999971
Saree Shaper - Pink Champagne - 5XL / Pink Champagne / Regular - Upto 5'4,2735,208,0,0
Saree Shaper - Navy Gloss,2733,299,1,899.000024
Saree Shaper - Arctic Spring,2725,227,1,899.000017
Flexi Kurti Pant - Sugar Cookie - S / Sugar Cookie,2721,16,0,0
Saree Shaper - Pearly Vanilla - XL / Pearly Vanilla / Regular - Upto 5'4,2719,297,0,0
Sleek Kurti Pant -  Forest Green - S / Green,2695,4,0,0
Saree Shaper - Pink Champagne - M / Pink Champagne / Regular - Upto 5'4,2686,345,0,0
Shimmer Legging - Rosy Brown,2678,178,2,1497.99996
Contrast Outer Elastic Sports Bra - Black/Light Grey - S / Black/Light Grey,2658,9,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Crimson Red - S / Crimson Red,2657,13,0,0
Viscose Ankle Legging - White Plus - XS / White Plus,2650,20,0,0
Cotton Kurti Pant - Navy Ribbon - S / Navy Ribbon,2632,18,0,0
Flexi Kurti Pant - White Plus - S / White Plus,2631,37,0,0
Saree Shaper - Teal Blue - S / Teal Blue / Regular - Upto 5'4,2631,25,0,0
Cotton Kurti Pant - Bubble Gum - S / Bubble Gum,2627,13,0,0
Solid Wide Leg Palazzo - Grape Vine - 2XL / Grape Vine,2620,102,0,0
Viscose Kurti Pant - Stone Green - M / Stone Green,2617,69,0,0
Linen Straight Pant - Beige,2605,23,0,0
Viscose Ankle Legging - Black Plus - S / Black Plus,2604,51,0,0
Shimmer Shawl - Gold Mine - Gold Mine,2599,173,0,0
Metallic Straight Pant - Metallic Black - S / Metallic Black,2581,22,0,0
Saree Shaper - Magic Maroon,2565,392,2,1798.00004
Saree Shaper - Peri Twinkle,2539,255,2,1798.000004
Shimmer Legging - Black Pearl,2533,159,1,748.999955
Crop Top - Amber Flower - XS / Amber Flower,2530,0,0,0
High Waist Denim Jeans - Kansas - M / Kansas 40,2524,36,0,0
Heart printed Night Pants - Grape Shake,2454,184,0,0
Saree Shaper - Sun Shine,2450,172,2,1797.999981
Solid Cotton Straight Pant - Cream De La Creme - M / Creme De La Creme,2450,33,0,0
Saree Shaper - Valentine,2419,245,1,899.000007
Denim Jegging - Kansas 40 - L / Kansas 40,2402,35,0,0
Flexi Kurti Pant - Pool Side - S / Pool Side,2396,8,0,0
Textured Pant Co-ord Set - Elephant Grey,2381,93,1,1098.999955
Cotton Stretch Straight Pant - Bright White - S / Bright White,2365,38,0,0
Solid Night Pant - Deep navy,2363,181,2,997.999982
Solid Wide Leg Palazzo - Grape Vine - S / Grape Vine,2344,16,0,0
Oversized Texture Shirt - Pink Sand,2339,107,0,0
Textured Night Pant - Elephant Grey,2332,135,0,0
Shimmer Legging - Black Pearl - S / Black Pearl,2328,32,0,0
Shimmer Legging - Soul Gem - S / Soul Gem,2305,26,0,0
Textured Pant Co-ord Set - Jet Black - XS / Jet Black,2291,14,0,0
Shimmer Legging - Blue Diamond - S / Blue Diamond,2279,24,0,0
Saree Shaper - Lime Twist,2274,162,2,1798.000052
Cotton Kurti Pant - Carbon Black,2269,344,1,599.000007
Shimmer Legging - Bronze Medal - S / Bronze Medal,2264,5,0,0
Solid Wide Leg Palazzo - Anthrazite Grey,2243,103,0,0
Cotton Ankle Legging - Carbon Black,2241,564,8,4391.999968
Kids Cotton Capri Legging - Carbon Black,2227,326,3,1097.000056
Flexi Kurti Pant - Wine - S / Wine,2217,5,0,0
Cotton Kurti Pant - La Burgandy - S / La Burgandy,2215,12,0,0
Textured Pant Co-ord Set - Mocha Mousse - XS / Mocha Mousse,2212,16,0,0
Flexi Kurti Pant - Wine,2211,139,0,0
Solid Sports Bra - Pearl White - XL / Pearl White,2189,8,0,0
Cotton Kurti Pant - Creme De La Creme - S / Creme De La Creme,2181,20,0,0
Metallic Straight Pant - Plum Berry - 2XL / Plum Berry,2155,220,0,0
Flexi Kurti Pant - White Plus,2154,268,1,599.000011
Cotton Kurti Pant - Bubble Gum,2153,161,2,1197.999997
Saree Shaper - Pearly Vanilla - 4XL / Pearly Vanilla / Regular - Upto 5'4,2153,105,0,0
Solid Wide Leg Palazzo - Mehandi Maroon - S / Mehandi Maroon,2124,7,0,0
Bamboo Modal Ankle Legging - Black,2108,128,0,0
Cotton Kurti Pant - Sandy Beach - S / Sandy Beach,2105,20,0,0
Textured Pant Co-ord Set - Mocha Mousse,2103,83,1,1098.999955
Solid Night Pant - Black - S / Black,2089,22,0,0
Flexi Kurti Pant - Pink Paradise - S / Pink Paradise,2088,5,0,0
Metallic Straight Pant - Navy Horizon - S / Navy Horizon,2088,13,0,0
High Waist Denim Jeans - Pearl White - XL / Pearl White,2081,39,0,0
Textured Pant Co-ord Set - Berry Crush,2079,206,2,2197.999963
Shimmer Legging - Red Velvet - S / Red Velvet,2074,16,0,0
Flexi Kurti Pant - Navy Ribbon - S / Navy Ribbon,2073,7,0,0
Metallic Straight Pant - Queen Bee,2073,91,0,0
Flexi Kurti Pant - Cherry Berry,2071,193,2,1198.000035
Saree Shaper - Gold Dust - L / Gold Dust / Regular - Upto 5'4,2067,165,0,0
Cotton Capri Legging - Pearl White - S / Pearl White,2066,17,0,0
Saree Shaper - Soul Gem - L / Soul Gem / Regular - Upto 5'4,2053,154,0,0
High Waist Denim Jeans - Miami 90,2019,111,0,0
Viscose Ankle Legging - Candle Light - S / Candle Light,2015,18,0,0
Shimmer Legging - Watermelon - S / Watermelon,2014,13,0,0
Saree Shaper - Desert Dazzle - XL / Desert Dazzle / Regular - Upto 5'4,2006,194,0,0
Cotton Stretch Straight Pant - Rose Dust,2003,93,1,698.999985
Saree Shaper - Blue Diamond,1991,229,0,0
Viscose Kurti Pant - Anthrazite Grey - 3XL / Anthrazite Grey,1974,155,0,0
Shimmer Shawl - Black Pearl - Black Pearl,1969,121,0,0
Cotton Ankle Legging - Creme De La Creme,1965,247,2,1097.999987
Solid Wide Leg Palazzo - Bubble Gum,1955,99,1,649.000028
Textured Night Pant - Black - XS / Black,1944,2,0,0
Viscose Churidar Legging - Moss Plant,1927,120,0,0
Flexi Indigo Jegging - Blu Bird 70 - S / Blu Bird 70,1915,11,0,0
Saree Shaper - Black Pearl - 3XL / Black Pearl / Regular -Upto 5'4,1905,262,0,0
Metallic Straight Pant - Eden Garden,1888,91,0,0
Flexi Kurti Pant - Black Plus,1878,268,2,1198.000029
Stretch Sports Vest Reversible - Black - S / Black,1877,7,0,0
Saree Shaper - Parrot Green,1872,165,2,1798.000039
Textured Night Pant - Rosy Brown,1868,80,0,0
Cotton Stretch Straight Pant - Rose Dust - S / Rose Dust,1866,9,0,0
Shimmer Shawl - Silver Coin - Silver Coin,1859,244,0,0
Viscose 7/8 High Ankle/Cropped Leggings - Black Plus,1855,155,4,1995.999992
Cotton Stretch Straight Pant - Cherry Berry - S / Cherry Berry,1848,13,0,0
Solid Wide Leg Palazzo - Vapour Violet,1847,46,1,648.999993
Sleek Kurti Pant -  Forest Green,1844,45,0,0
Solid Night Pant - Cherry berry,1842,120,2,997.999942
Flexi Kurti Pant - Pool Side,1834,127,1,598.999973
High Neck Oversize Crop Top - Red - S / Red,1830,1,0,0
Printed Knitted Palazzo Pants - Navy Classic - S / Navy Classic,1805,2,0,0
Shimmer Legging - Desert Dazzle - XL / Desert Dazzle,1800,111,0,0
Striped Palazzo - Dusty Blue,1797,99,0,0
Shimmer Legging - Valentine - S / Valentine,1793,11,0,0
Cotton Kurti Pant - Olive Green - S / Olive Green,1774,3,0,0
Textured Pant Co-ord Set - Jet Black,1771,109,1,1099.000035
Shimmer Legging - Sugar Cookie - M / Sugar Cookie,1762,25,0,0
Textured Night Pant - Elephant Grey - XS / Elephant Grey,1755,7,0,0
Cotton Capri Legging - Navy Classic,1753,119,0,0
Textured Night Pant - Rosy Brown - XS / Rosy Brown,1750,5,0,0
Cotton Ankle Legging - Creme De La Creme - S / Creme De La Creme,1744,36,0,0
Cotton Kurti Pant - Navy Ribbon,1741,131,0,0
Solid Wide Leg Palazzo - Pool Side,1741,100,1,649.00002
Cotton Ankle Legging - Pearl white,1735,486,8,4392.000016
Solid Wide Leg Palazzo - Pearl White - M / Pearl White,1722,120,0,0
Shimmer Legging - Green Glitter - S / Green Glitter,1717,9,0,0
Solid Wide Leg Palazzo - Caramel Custard - S / Caramel Custard,1706,3,0,0
Viscose Kurti Pant - Navy Ribbon - 4XL / Navy Ribbon,1705,129,0,0
Dog Printed Co-ord Set - Butterscotch Loungewear - L / Butter Scotch,1702,21,0,0
Bamboo Modal Churidar Legging - White,1700,63,0,0
Textured Night Pant - Elephant Grey - XL / Elephant Grey,1691,60,0,0
High Waist Denim Jeans - Boston 000 - S / Boston 000,1684,17,0,0
Kids Printed Shorts Co-ord - Pink - 26 / Pink,1679,5,0,0
Cotton Kurti Pant - La Burgandy,1678,155,0,0
Textured Pant Co-ord Set - Pale Mauve - XS / Pale Mauve,1678,10,0,0
Cotton Kurti Pant - Sandy Beach,1668,137,0,0
Solid Night Pant - Charcoal Grey,1667,150,0,0
Saree Shaper - Pearly Vanilla - 5XL / Pearly Vanilla / Regular - Upto 5'4,1665,199,0,0
Embroidered Rib Tee - Mehandi Maroon,1663,145,0,0
Solid Night Pant - Black,1659,183,0,0
Textured Pant Co-ord Set - Berry Crush - S / Berry Crush,1657,57,0,0
Cotton Stretch Straight Pant - Black Plus - S / Black Plus,1653,23,0,0
Cotton Ankle Legging - Butter Scotch - S / Butter Scotch,1651,17,0,0
Cotton Kurti Pant - Creme De La Creme,1641,212,0,0
Solid Cotton Knitted Dress - Burgundy - S / La Burgundy,1634,12,0,0
Shimmer Legging - Pink Champagne,1632,75,0,0
Shimmer Legging - Gold Dust,1627,77,2,1498.000009
Textured Night Pant - Belgian Cocoa,1622,140,1,798.99997
Metallic Straight Pant - Metallic Black,1617,186,2,1198.000085
Sleek Kurti Pant - White - S / White,1606,16,0,0
Waterfall Pant - Cream,1593,56,0,0
Turtle Neck Ribbed Tee - Green - S / Green Tree,1586,3,0,0
Cotton Capri Legging - Pearl White,1583,244,0,0
Metallic Straight Pant - Pine Tree,1581,70,1,598.999963
Knotted Striped Palazzo - Cuban Sand,1575,49,0,0
Embroidered Rib Tee - Black,1574,53,0,0
Solid Wide Leg Palazzo - Pink Paradise,1565,97,2,1297.999987
Solid Wide Leg Palazzo - Caramel Custard,1562,93,1,649.000028
Shimmer Legging - Gold Mine - 2XL / Gold Mine,1554,143,0,0
Solid Wide Leg Palazzo - Bubble Gum - S / Bubble Gum,1553,4,0,0
Solid Wide Leg Palazzo - Lucky Bamboo,1549,92,0,0
Textured Pant Co-ord Set - Berry Crush - XS / Berry Crush,1543,12,0,0
Viscose Kurti Pant - White - 4XL / White,1542,329,0,0
Cotton Stretch Straight Pant - Bubble Gum - S / Bubble Gum,1541,5,0,0
Performance Tights Mid Waist - Merlot - L / Merlot,1539,10,0,0
Striped Palazzo - Jet Black - S / Jet Black,1537,2,0,0
Denim Jegging - Kansas 40 - M / Kansas 40,1534,15,0,0
Shimmer Legging - Navy Gloss - S / Navy Gloss,1525,9,0,0
Coloured Jegging - Pink punch - S / Pink punch,1520,1,0,0
Shrug Long Line - Light Olive - S / Light Olive,1517,8,0,0
Polka Dots Printed Co-ord Set - December Sky - XL / December Sky,1513,44,0,0
Flexi Kurti Pant - Sugar Cookie,1512,186,1,598.999974
Straight Fit Saree Shaper - Gold Mine,1508,95,0,0
Viscose 7/8 High Ankle/Cropped Leggings - White Plus - S / White Plus,1503,59,0,0
Cotton Stretch Straight Pant - Creme de la Crème - S / Creme de la Crème,1502,6,0,0
Shimmer Shawl - Gold Dust - Gold Dust,1494,97,0,0
Cotton Stretch Straight Pant - Caramel Custard - S / Caramel Custard,1484,6,0,0
Linen Straight Pant - Black - S / Black,1479,15,0,0
Shimmer Legging - Magic Maroon,1472,132,3,2246.999972
Viscose Ankle Legging - Laser Blue - S / Laser Blue,1466,7,0,0
Kids Secura Shorts - Navy Classic - XS / Navy Classic,1464,7,0,0
Saree Shaper - Rosy Brown - L / Rosy Brown / Regular - Upto 5'4,1463,124,0,0
Saree Shaper - Red Velvet - L / Red Velvet / Regular - Upto 5'4,1462,276,0,0
Cotton Churidar Legging - Pearl white - S / Pearl White,1458,33,0,0
Solid Wide Leg Palazzo - Anthrazite Grey - S / Anthrazite Grey,1453,8,0,0
Shimmer Legging - Sun Shine - S / Sun Shine,1449,6,0,0
Rainbow Printed Co-ord Set - Jet Black - S / Jet Black,1446,30,0,0
Metallic Straight Pant - Metallic Black - M / Metallic Black,1443,57,0,0
Saree Shaper - Glam Pink - 2XL / Glam Pink / Regular - Upto 5'4,1443,217,0,0
Striped Palazzo - Dusty Blue - S / Dusty Blue,1443,7,0,0
Saree Shaper - Pearly Vanilla - 3XL / Pearly Vanilla / Regular - Upto 5'4,1441,183,0,0
Solid Wide Leg Palazzo - Vapour Violet - S / Vapour Violet,1439,3,0,0
Saree Shaper - Silver Coin - L / Silver Coin / Regular - Upto 5'4,1425,106,0,0
Relaxed Fit Tee - Sage - XL / Sage,1424,44,0,0
Shimmer Legging - Pearly Vanilla,1422,113,0,0
Solid Night Pant - Deep navy - S / Deep navy,1421,20,0,0
Metallic Straight Pant - Eden Garden - 2XL / Eden Garden,1419,122,0,0
Saree Shaper - Emerald De Lite - XL / Emerald De Lite / Regular - Upto 5'4,1411,174,0,0
